titre,domaine,type_news
هذه الصورة مفبركة، ولا تظهر طائرة تابعة للخطوط الجوية الحضرمية,,زائف
هل تريد المساعدة في مكافحة التضليل؟ ساعد مجتمعك على وقف انتشار المعلومات الخاطئة والمضللة,,
"Fatabyyano announces the launch of “Kinan” the smart fact-checking assistant, in partnership with Meedan",,
جيبوتي -Djibouti حملة COVID-19 vs F19,,
اليمن -Yemen حملة COVID-19 vs F19,,
لا، لم تحظر اليابان لقاحات كوفيد 19، ولا صحة لهذه الادعاءات المتداولة حول زيادة معدل الوفيات بسبب اللقاح,,زائف
لم تصدر الحكومة المصرية هذا القرار بصرف علاوة استثنائية للعاملين بالدولة مؤخرًا,,زائف
هذه الصورة تعود لتمثال القديس بطرس في البرتغال وليس في محافظة الديوانية العراقية,,مضلل
هذه الصورة تعود لمنحوتة فنية، ولا تبين ظهور مخلوق غريب في ساحل أبين في عدن,,مضلل
هذه الصورة قديمة، ولا تظهر انصهار إشارة ضوئية في مدينة الديوانية في العراق,,مضلل
هذا المقطع المتداول عبارة عن عمل فني رقمي، ولا يبين حشرة حقيقة تحمل وجه إنسان,,زائف
هذا المقطع يعود لسبتمبر 2021، ولا يظهر نشاط بركاني في لاس بالماس مؤخراً,,مضلل
هذه الصورة مفبركة، ولم يتنبأ مسلسل سيمبسون بتطبيق ثريدز,,زائف
هذا المقطع لا يظهر اللحظات الأخيرة لطاقم الغواصة تيتان قبل انفجارها,,مضلل
هذا المقطع الذي قيل إنه يظهر كريستيانو رونالدو ينطق بالشهادتين مفبرك,,زائف
هذا المقطع عبارة عن تصميم رقميّ ولا يظهر “مخلوقات فضائية” في لاس فيغاس,,زائف
هذا المقطع لا يظهر تنبؤ سيمبسون بحادثة غواصة تيتان مؤخرًا,,مضلل
هذا المقطع يبين ظهور قرش في إحدى الشواطئ في إسبانيا وليس في تونس,,مضلل
هل تريد المساعدة في مكافحة التضليل؟ ساعد مجتمعك على وقف انتشار المعلومات الخاطئة والمضللة,,
"Fatabyyano announces the launch of “Kinan” the smart fact-checking assistant, in partnership with Meedan",,
جيبوتي -Djibouti حملة COVID-19 vs F19,,
اليمن -Yemen حملة COVID-19 vs F19,,
لا، لم تحظر اليابان لقاحات كوفيد 19، ولا صحة لهذه الادعاءات المتداولة حول زيادة معدل الوفيات بسبب اللقاح,,زائف
هذا المقطع قديم ولا يبين ظهور حيوان باسم “السلعوى” على الحدود السورية العراقية,,مضلل
هذا المقطع اقتبس من فيلم، ولا يظهر غواصًا قطع المسافة بين المغرب وإسبانيا تحت البحر,,مضلل
هذا المقطع لا يظهر قرية حقيقية للسنافر في اليمن، وإنما مجسمٍ في وادي رم,,مضلل
هذه الصورة تعود لمطار دبي الدولي وليست لمطار المخاء في تعز,,مضلل
هذه الصورة مولدة بواسطة الذكاء الاصطناعي، ولا تبين زخارف حقيقية لطائر,,زائف
هذه الصورة لا تظهر مطار عدن في ستينيات القرن الماضي، وإنما مطار الخرطوم,,مضلل
هذه الصورة ليست لواحة البور في الجزائر، وإنما لبحيرة الهلال في الصين,,مضلل
هذه الصورة معدلة ولا تظهر طفلًا حديث الولادة بلحية بيضاء,,زائف
هذا المقطع لا يبين دراجة نارية مصنوعة من الذهب أهديت لكريستيانو رونالدو مؤخرًا,,مضلل
هذه الصورة لا تعود لمشروع إسكان مجاني في صنعاء بل لمجمع سكني في الإمارات,,مضلل
هذا المقطع قديم، ولا يظهر سيلًا يجرف مزارع القات في محافظة حجة في اليمن,,مضلل
هذه الصور من صنع برامج الذكاء الاصطناعي ولا تظهر “تَنانين” صنعتها الصين,,زائف
هل تريد المساعدة في مكافحة التضليل؟ ساعد مجتمعك على وقف انتشار المعلومات الخاطئة والمضللة,,
"Fatabyyano announces the launch of “Kinan” the smart fact-checking assistant, in partnership with Meedan",,
جيبوتي -Djibouti حملة COVID-19 vs F19,,
اليمن -Yemen حملة COVID-19 vs F19,,
لا، لم تحظر اليابان لقاحات كوفيد 19، ولا صحة لهذه الادعاءات المتداولة حول زيادة معدل الوفيات بسبب اللقاح,,زائف
هذا المقطع يعود لطائرة أسترالية ولا يظهر تعطل إطار طائرة للخطوط الجوية العراقية,,مضلل
هذا المقطع مركب من مشاهد قديمة، ولا تظهر انفعال حكيمي في المحكمة,,مضلل
هذا المقطع يظهر عملا فنيا، وليس مخلوقا غريبا عثر عليه في غابات الصين,,مضلل
هذه الصورة من الهند، وليست لقبر مقفول في باكستان منعاً لسرقة الجثث,,مضلل
لا صحة لخبر فرض رسوم شهرية على مجموعات الفيسبوك,,زائف
هذه الصورة مولدة بواسطة الذكاء الاصطناعي، وليست لأكبر حصان عبر التاريخ,,زائف
هذا المقطع لا يبين عراكًا على متن طائرة تابعة للخطوط الجوية الجزائرية,,مضلل
هذا المقطع لا يصوّر مرض السرطان داخل زجاجة، وإنما سائل حديدي ممغنط,,مضلل
هذا المقطع مفبرك، ولا صحة لوفاة الملك سلمان ملك المملكة العربية السعودية,,مضلل
هذه الصورة مركبة ولا تظهر وليد مهساس بحالة حرجة في المستشفى,,زائف
هذه المسابقة زائفة وليست تابعة لمسابقة الحلم من تقديم مصطفى الآغا,,زائف
هذا المقطع لا يظهر اعترافًا من فايزر بأنها نفذت خديعة الحكومة بلقاحها المضاد لكوفيد-19,,زائف
هل تريد المساعدة في مكافحة التضليل؟ ساعد مجتمعك على وقف انتشار المعلومات الخاطئة والمضللة,,
"Fatabyyano announces the launch of “Kinan” the smart fact-checking assistant, in partnership with Meedan",,
جيبوتي -Djibouti حملة COVID-19 vs F19,,
اليمن -Yemen حملة COVID-19 vs F19,,
لا، لم تحظر اليابان لقاحات كوفيد 19، ولا صحة لهذه الادعاءات المتداولة حول زيادة معدل الوفيات بسبب اللقاح,,زائف
هذا المقطع لا يظهر مواطنًا تركيًّا يعتدي على شاب سوري في تركيا,,مضلل
هذه المشاهد تعود لمتحف في تركيا ولا تظهر “أخطر سجن في المغرب”,,مضلل
هذا المقطع معدل، ولا يبين إضاءة دار أوبرا سيدني بمناسبة السنة الآشورية مؤخرًا,,زائف
هذا المقطع قديم من عام 2017، ولا يظهر تحطيم مولدات تابعة لمشروع هارب في البرازيل,,مضلل
هذا المقطع يعود لفعالية ترفيهية نُظمت في إندونيسيا، وليس ظهور زومبي في الصين,,مضلل
صورة مجسم الشجرة هذه تعود لمحافظة ضرية السعودية وليست لمحافظة الأنبار,,مضلل
هذا المقطع قديم، ولا يبين سيولًا جراء الأمطار الغزيرة التي ضربت اليمن مؤخرًا,,مضلل
هذه الصور ليست لتأدية قيس سعيد صلاة التراويح في أحد مساجد تونس مؤخراً,,مضلل
هذا المقطع قديم، ولا يبين الحادث الذي تعرض له سفيان كيين في بلجيكا مؤخرًا,,مضلل
هذه الصورة لا تظهر ما يُسمّى “القط الثعبان” والادعاءات المرفقة بها زائفة,,زائف
لم يحظر الكونغرس التبرع بالدم لمتلقي لقاح كوفيد-19 من شركة فايزر,,زائف
هذه الوثيقة لا تظهر وجود مادة أكسيد الجرافين في لقاح فايزر المضاد لكوفيد 19,,زائف
هل تريد المساعدة في مكافحة التضليل؟ ساعد مجتمعك على وقف انتشار المعلومات الخاطئة والمضللة,,
"Fatabyyano announces the launch of “Kinan” the smart fact-checking assistant, in partnership with Meedan",,
جيبوتي -Djibouti حملة COVID-19 vs F19,,
اليمن -Yemen حملة COVID-19 vs F19,,
لا، لم تحظر اليابان لقاحات كوفيد 19، ولا صحة لهذه الادعاءات المتداولة حول زيادة معدل الوفيات بسبب اللقاح,,زائف
هذه الصور قديمة وليست من الزلزال الذي ضرب أفغانستان مؤخرًا,,مضلل
هذه الصور التي قيل أنها تصور قطار عدن غير صحيحة وتعود لقطارات مختلفة,,مضلل
لم تحذر هيئة مسح زلازل أمريكية من زلزال مدمر في بلاد الشام ومصر,,زائف
هذه الصورة لاعتقال دونالد ترامب مختلقة باستخدام أحد برامج الذكاء الاصطناعي,,زائف
هذه الصورة مفبركة، ولم تحتل اليمن المركز الأول عربيًا في مؤشر السعادة العالمي 2023,,زائف
هذا المقطع قديم، ولا يظهر تدافعًا في الجزائر من أجل الحصول على السميد التونسي,,مضلل
هذا المقطع متداول منذ عام 2020، ولا يبين احتشاد أنصار ترامب لدعمه مؤخرًا,,مضلل
هذا المقطع قديم من الهند، ولا يصوّر معلماً يضرب طالباً في قطاع غزة,,مضلل
هذا المقطع يظهر فرس نهر في تشاد، وليس وحيد قرن يتجول في شوارع السودان,,مضلل
هذا المقطع متداول منذ عام 2022، ولا يبين عاصفة رعدية في غازي عنتاب مؤخرًا,,مضلل
لا، لم يأمر فلاديمير بوتين بتدمير مخزون لقاحات فيروس كوفيد-19 في روسيا,,زائف
لا، لم تصدر الفلبين مذكرة توقيف بحقّ بيل غيتس بسبب لقاحات كوفيد 19,,زائف
هل تريد المساعدة في مكافحة التضليل؟ ساعد مجتمعك على وقف انتشار المعلومات الخاطئة والمضللة,,
"Fatabyyano announces the launch of “Kinan” the smart fact-checking assistant, in partnership with Meedan",,
جيبوتي -Djibouti حملة COVID-19 vs F19,,
اليمن -Yemen حملة COVID-19 vs F19,,
لا، لم تحظر اليابان لقاحات كوفيد 19، ولا صحة لهذه الادعاءات المتداولة حول زيادة معدل الوفيات بسبب اللقاح,,زائف
لا، لم تتوصل هذه الدراسة إلى أن النواة الداخلية للأرض قد توقفت تماما عن الدوران,,مضلل
هذا المقطع عبارة عن تصميم رقمي ولا يظهر طائر الحدأة يقوم بإشعال الحرائق,,زائف
هذا المقطع معدل، ولا يبين تنبؤ مسلسل سيمبسونز بإفلاس بنك سيليكون فالي,,زائف
هذه الصورة قديمة، ولا تبين مسلخًا لتقطيع الدجاج البرازيلي لبيعه بسعر المحلي,,مضلل
هذا المقطع لا يظهر طائرات تلاحق جسمًا غريبًا بل عمل فني رقمي,,زائف
هذا المقطع قديم ويعود لليمن، وليس لتصاعد نيران من باطن الأرض في تركيا مؤخراً,,مضلل
هذا المقطع مصمم رقميًّا، ولا يظهر رصد أجسام غريبة على سطح القمر مؤخرًا,,مفبرك
هذه الصورة مفبركة، ولا تبين الفنان عادل إمام في أحدث ظهور له,,زائف
هذه الصور لشجرة اصطناعية تولد الكهرباء بفعل الرياح في فرنسا، وليست في ماليزيا,,مضلل
هذا المقطع قديم، ولا يبين ظهور شكل غريب في سماء أنطاكيا قبيل زلزال تركيا,,مضلل
هذه الصورة لا تعود لوادي سوف في صحراء الجزائر، وإنما لمزرعة النجد في سلطنة عمان,,مضلل
هذا المقطع يعود لعام 2010، ولا يصوّر لحظة سقوط طائرة جزائرية في بوفاريك,,مضلل
هل تريد المساعدة في مكافحة التضليل؟ ساعد مجتمعك على وقف انتشار المعلومات الخاطئة والمضللة,,
"Fatabyyano announces the launch of “Kinan” the smart fact-checking assistant, in partnership with Meedan",,
جيبوتي -Djibouti حملة COVID-19 vs F19,,
اليمن -Yemen حملة COVID-19 vs F19,,
لا، لم تحظر اليابان لقاحات كوفيد 19، ولا صحة لهذه الادعاءات المتداولة حول زيادة معدل الوفيات بسبب اللقاح,,زائف
هذه الصورة مفبركة، ولم تنشر نيويورك تايمز قصة عفو رجل عن قاتل ابنه,,زائف
هذه الصورة متداولة منذ عام 2012، ولا تبين معرضًا لمنتجات الجيش الأمريكي,,مضلل
هذا المقطع متداول منذ عام 2021 على أنه احتراق قارب في نيجيريا,,مضلل
هذه المشاهد مركبة ولا تظهر الاعتداء على نادي الوداد في الجزائر,,مضلل
هذا المقطع لحريق اندلع بعد زلزال تركيا، ولا يبين مشاهد من مشروع هارب,,مضلل
هذا المقطع متداول منذ عام 2022، ولا يبين لحظات وقوع زلزال في مصر,,مضلل
هذا المقطع متداول منذ عام 2014، ولا يبين تشققات في شينجيانغ حديثًا,,مضلل
هذا المقطع لا يصور لحظة وقوع زلزال في طاجيكستان مؤخراً، بل يعود لمطار كلارك في الفليبين,,مضلل
هذا المقطع الذي قيل أنه يظهر لحظة وقوع زلزال طاجيكستان قديم ويعود لعام 2021,,مضلل
هذا الفيديو قديم، ولا يظهر طاقة كهرومغناطيسية أطلقها “هارب” قبيل زلزال تركيا,,مضلل
هذا المقطع معدل رقميًا، ولا يبين سلاحًا سبب زلزال تركيا مؤخرًا,,زائف
هذه الصور قديمة ولا تبين ظهور ما يسمى “الضوء الزلزالي” في سماء سوريا مؤخرًا,,مضلل
هل تريد المساعدة في مكافحة التضليل؟ ساعد مجتمعك على وقف انتشار المعلومات الخاطئة والمضللة,,
"Fatabyyano announces the launch of “Kinan” the smart fact-checking assistant, in partnership with Meedan",,
جيبوتي -Djibouti حملة COVID-19 vs F19,,
اليمن -Yemen حملة COVID-19 vs F19,,
لا، لم تحظر اليابان لقاحات كوفيد 19، ولا صحة لهذه الادعاءات المتداولة حول زيادة معدل الوفيات بسبب اللقاح,,زائف
هذا المقطع قديم، ولا يبين هتافات من مباراة الوداد وشبيبة القبائل مؤخرًا,,مضلل
هذا المقطع متداول منذ عام 2021، وليس لإنقاذ قطة في تركيا مؤخرًا,,مضلل
هذا المقطع لا يصور سد أتاتورك في تركيا، وإنما لجسر مدين في باكستان,,مضلل
هذه الصور تظهر مناطق مختلفة من كهرمان مرعش بعد الزلزال، ولا تبين حال المدينة قبل وبعد الزلزال,,مضلل
هذا المقطع متداول منذ عام 2022، ولا يبين جسمًا ظهر في سماء تركيا قبل الزلزال,,مضلل
هذا المقطع متداول منذ عام 2017، ولا يظهر سقوط جدار على أحد الناجين في حلب,,مضلل
هذه الصورة قديمة وليست لشخص ألقي القبض عليه في تركيا بتهمة السرقة,,مضلل
لم يتوقع مركزٌ بريطانيٌّ للأرصاد حدوث زلزال مدمر في دول الخليج والعراق واليمن,,زائف
هذا المقطع الذي قيل أنه يظهر أردوغان يبكي ضحايا الزلزال في بلاده قديم,,مضلل
هذا المقطع قديم لسد في الصين، ولا يظهر تفريغ المياه من سد إليسو,,مضلل
هذه الصورة لا تظهر سحباً غريبة فوق سماء تركيا عقب حدوث الزلزال,,مضلل
هذا المقطع متداول منذ عام 2022، ولا يبين اعتداءً على وفد النادي الأهلي في المغرب مؤخرًا,,مضلل
هل تريد المساعدة في مكافحة التضليل؟ ساعد مجتمعك على وقف انتشار المعلومات الخاطئة والمضللة,,
"Fatabyyano announces the launch of “Kinan” the smart fact-checking assistant, in partnership with Meedan",,
جيبوتي -Djibouti حملة COVID-19 vs F19,,
اليمن -Yemen حملة COVID-19 vs F19,,
لا، لم تحظر اليابان لقاحات كوفيد 19، ولا صحة لهذه الادعاءات المتداولة حول زيادة معدل الوفيات بسبب اللقاح,,زائف
هذا المقطع الذي قيل أنه يظهر غيومًا ظهرت في سماء أنطاكية مؤخرًا غير حقيقي,,زائف
هذه المقاطع لا تظهر مشاهد من زلزال تركيا، بل قديمة وتعود لأحداث مختلفة,,مضلل
ناسا لم تعلن أن هناك كويكبًا ضخمًا سيصطدم بالأرض خلال أيام,,زائف
هذا المقطع لا يظهر اهتزاز مبنى بسبب الزلزال الأخير الذي ضرب تركيا,,مضلل
فيديو الطفلة التي خرجت من تحت الركام بصحبة لعبتها قديم وليس بعد الزلزال الأخير,,مضلل
هذه المشاهد قديمة، ولا تظهر استشعار القطط بزلزال تركيا قبل حدوثه,,مضلل
هذه الصور تعود لأموال ضبطت في العراق، وليست لأموال عثر عليها في تركيا,,مضلل
هذا المقطع قديم، ولا يبين معدات مصرية في سوريا مؤخرًا,,مضلل
هذا المقطع قديم، ولا يظهر تفريغ سد إليسو بسبب تشققات عقب زلزال تركيا,,مضلل
هذا المقطع لا يظهر تدفق المياه في العراق بسبب فتح سد إليسو مؤخرًا,,مضلل
هذا المقطع قديم ولا يظهر فتح سد الموصل في أعقاب الزلزال الأخير في تركيا,,مضلل
هذا المقطع متداول منذ عام 2018، ولا يبين مشاهد لمسجد في تركيا,,مضلل
هل تريد المساعدة في مكافحة التضليل؟ ساعد مجتمعك على وقف انتشار المعلومات الخاطئة والمضللة,,
"Fatabyyano announces the launch of “Kinan” the smart fact-checking assistant, in partnership with Meedan",,
جيبوتي -Djibouti حملة COVID-19 vs F19,,
اليمن -Yemen حملة COVID-19 vs F19,,
لا، لم تحظر اليابان لقاحات كوفيد 19، ولا صحة لهذه الادعاءات المتداولة حول زيادة معدل الوفيات بسبب اللقاح,,زائف
هذا المقطع متداول منذ عام 2021، ولا يبين انهيار مبان في تركيا مؤخرًا,,مضلل
هذه الصورة قديمة ولا تظهر فرق مساعدات متوجهة إلى سوريا مؤخرًا,,مضلل
هذا المقطع قديم، ولا يبين سقوط شخص بسبب الزلزال في تركيا مؤخرًا,,مضلل
هذا المقطع قديم، ولا يظهر استقبال حافلة نادي ريال مدريد في المغرب مؤخرًا,,مضلل
هذه المشاهد قديمة وتعود لأحداث مختلفة وليست من زلزال تركيا الأخير,,مضلل
هذا المقطع من أكتوبر 2020، ولا يظهر هبوط أرضي في الإسكندرية إثر الزلزال الأخير,,مضلل
هذا المقطع متداول منذ عام 2011، ولا يبين أبراجًا في تركيا,,مضلل
هذا المقطع قديم ومن اليابان ولا علاقة له بالهزة الأرضية التي ضربت تركيا مؤخرًا,,مضلل
هذه الصورة تعود لآثار تماسيح عثر عليها في مصر عام 2019 وليس في ليبيا,,مضلل
هذه المشاهد قديمة، ولا علاقة لها بملاعب بطولة كأس العالم للأندية في المغرب,,مضلل
هذه المشاهد قديمة من أحداث مختلفة، ولم يحضر زين الدين زيدان افتتاح كأس العالم للأندية,,مضلل
هذا المقطع متداول منذ عام 2017، ولا يبين حدوث تسونامي في تركيا مؤخرًا,,مضلل
هل تريد المساعدة في مكافحة التضليل؟ ساعد مجتمعك على وقف انتشار المعلومات الخاطئة والمضللة,,
"Fatabyyano announces the launch of “Kinan” the smart fact-checking assistant, in partnership with Meedan",,
جيبوتي -Djibouti حملة COVID-19 vs F19,,
اليمن -Yemen حملة COVID-19 vs F19,,
لا، لم تحظر اليابان لقاحات كوفيد 19، ولا صحة لهذه الادعاءات المتداولة حول زيادة معدل الوفيات بسبب اللقاح,,زائف
هذا المقطع قديم، ولا يظهر أمواج تسونامي تضرب الساحل التركي السوري,,مضلل
هذا المقطع يظهر انهيار مبنى في فلوريدا عام 2021 وليس من زلزال تركيا الأخير,,مضلل
هذه الصورة قديمة لمطار بيروت الدولي، وليست لمطار عدن في اليمن,,مضلل
هذا المقطع لا يظهر فأرًا فوق طاولة أحد الاجتماعات في الجزائر مؤخرًا,,مضلل
هذا المقطع قديم ولا يظهر بيانًا حديثًا بخصوص امتحانات المراحل المنتهية في العراق,,مضلل
هذه المشاهد قديمة ولا علاقة لها بوفاة نائب رئيس الاتحاد الموريتاني لكرة القدم في الجزائر,,مضلل
هذه المزاعم حول مرض السرطان زائفة، ولا يمكن علاجه باتباع حمية قلوية لأسبوع,,زائف
المشاهد في هذا المقطع قديمة، ولا تبين حرق علم المغرب أثناء بطولة الشان مؤخرًا,,مضلل
هذا المقطع مركب ولا يظهر بكاء مذيعة تأثرًا باستقبال بعثة النادي الأهلي في المغرب,,زائف
هذه الصورة لا تظهر صحراء الجوف بعد زراعتها بل لصورٍ من مصر والعراق,,مضلل
ترجمة هذا المقطع مفبركة ولا تظهر كريستيانو رونالدو يعلن رغبته ترك نادي النصر,,زائف
هذا المقطع قديم ولا يظهر شخصًا يُدخل قارورة خمر إلى جوار الكعبة,,مضلل
هل تريد المساعدة في مكافحة التضليل؟ ساعد مجتمعك على وقف انتشار المعلومات الخاطئة والمضللة,,
"Fatabyyano announces the launch of “Kinan” the smart fact-checking assistant, in partnership with Meedan",,
جيبوتي -Djibouti حملة COVID-19 vs F19,,
اليمن -Yemen حملة COVID-19 vs F19,,
لا، لم تحظر اليابان لقاحات كوفيد 19، ولا صحة لهذه الادعاءات المتداولة حول زيادة معدل الوفيات بسبب اللقاح,,زائف
المشاهد في هذا المقطع قديمة، ولم يتعرض منتخب مدغشقر للطرد من بطولة الشان,,مضلل
هذه المشاهد قديمة ولا تظهر جماهير جزائرية تعتدي على جماهير سودانية,,مضلل
هذه الصورة لا تعود لمنزل النائب العراقي مشعان الجبوري، بل لمجلس محافظة نينوى,,مضلل
هذا المقطع قديم ولا يظهر صحافيّا يهدد آخر بسبب انتقاده بطولة الشان 2022,,مضلل
هذا المقطع قديم ولا يظهر انفجارًا في مصنع كيماويات في الولايات المتحدة مؤخرًا,,مضلل
هذه الصور قديمة من أحداث مختلفة، ولا تبين أعمال شغبٍ في المغرب مؤخرًا,,مضلل
المشاهد الظاهرة في المقطع من أحداث مختلفة، ولا تبين إعلان انسحاب ساحل العاج من بطولة الشان,,مضلل
هذه المشاهد قديمة لأحداث مختلفة، وليست لاعتداء على الفريق الإثيوبي في الجزائر,,مضلل
مشاهد هذا المقطع قديمة من أحداث مختلفة، ولا تبين ملاعب في الجزائر مؤخرًا,,مضلل
هذه المشاهد قديمة، ولا تصور اندلاع أعمال شغب عقب مباراة الجزائر وإثيوبيا,,مضلل
هذا المقطع قديم، ولا يبين شغبًا بعد مباراة الكاميرون والكونغو في بطولة الشان مؤخرًا,,مضلل
المشاهد الواردة في هذا المقطع قديمة من أحداث مختلفة، وليست من الجزائر مؤخرًا,,مضلل
هل تريد المساعدة في مكافحة التضليل؟ ساعد مجتمعك على وقف انتشار المعلومات الخاطئة والمضللة,,
"Fatabyyano announces the launch of “Kinan” the smart fact-checking assistant, in partnership with Meedan",,
جيبوتي -Djibouti حملة COVID-19 vs F19,,
اليمن -Yemen حملة COVID-19 vs F19,,
لا، لم تحظر اليابان لقاحات كوفيد 19، ولا صحة لهذه الادعاءات المتداولة حول زيادة معدل الوفيات بسبب اللقاح,,زائف
هذا المقطع مجتزأ من سياقه الأصلي ولم يتحدث الحسيني عن الجزائر,,مضلل
هذا المقطع متداول منذ عام 2019، ولا يبين توزيع الأطعمة أمام ملعب نيلسون مانديلا,,مضلل
هذا المقطع قديم ومتداول قبل تولي السوداني منصب رئاسة الوزراء العراقية,,مضلل
هذه الصورة متداولة منذ عام 2009، ولا تبين سماء مدينة بنغازي مؤخرًا,,مضلل
هذا المقطع قديم ومتداول منذ عام 2021، ولا يبين سقوط طائرة في نيبال مؤخرًا,,مضلل
هذا المقطع لا يظهر أداء اليمين لرئيس محكمة في الإمارات بل لجنة تحكيم لمسابقة الأبل,,مضلل
هذه الصورة معدلة رقميًا، ولا تظهر رفع الجماهير العراقية لافتة شكرٍ لنجم الجبوري,,زائف
هذا المقطع قديم، ولا يظهر اقتحام أحد مشجعي الجزائر للمباراة الافتتاحية لبطولة الشان 2022,,مضلل
هذه الصورة معدلة رقميًا، ولا تظهر برج إيفل مزينًا بألوان العلم الكردي,,زائف
هذه الصورة للمداعة من متحف برلين، ولم تعرضها الإمارات عقب العثور عليها في رأس الخيمة,,مضلل
هذا المقطع متداول منذ عام 2022، ولا يبين اعتداء الأمن الجزائري على الجمهور الليبي,,مضلل
هذا المقطع قديم، ولا يظهر حادث تصادمٍ في ليبيا بسبب الأمطار مؤخرًا,,مضلل
هل تريد المساعدة في مكافحة التضليل؟ ساعد مجتمعك على وقف انتشار المعلومات الخاطئة والمضللة,,
"Fatabyyano announces the launch of “Kinan” the smart fact-checking assistant, in partnership with Meedan",,
جيبوتي -Djibouti حملة COVID-19 vs F19,,
اليمن -Yemen حملة COVID-19 vs F19,,
لا، لم تحظر اليابان لقاحات كوفيد 19، ولا صحة لهذه الادعاءات المتداولة حول زيادة معدل الوفيات بسبب اللقاح,,زائف
هذه الصورة قديمة من شجار على متن خطوط بنغلاديش الجوية، وليست بين لاعبين مغاربة,,مضلل
هذه الصورة لنظام تنظيف ذاتي في أحد شوارع كوريا الجنوبية وليست في العراق,,مضلل
لا، لم تضاف رسوم مغادرة جديدة للمسافرين من مطار الخرطوم في السودان,,زائف
هذه الصورة لا تظهر جسرًا في محافظة الأنبار، بل لجسر الشيخ زايد في أبو ظبي,,مضلل
هذا المقطع من مشروع لتكرير الإيثيلين في الصين، وليس لميناء الفاو في العراق,,مضلل
هذه الصورة مجرّد تصميم رقميّ، ولا تظهر القميص الجديد لمنتخب الأرجنتين,,مضلل
هذه الصور مفبركة، وليست من استعدادات تنظيم بطولة أمم أفريقيا للمحليين في الجزائر,,زائف
هذه الصورة متداولة منذ عام 2015، ولا تظهر حالة ملعب برج العرب مؤخرًا,,مضلل
هذه الصورة تظهر آنية من العاج الملون، وليست حبة رمان محنطة منذ آلاف السنين,,مضلل
هذه الصورة قديمة ولا علاقة لها بالاستعدادات لتنظيم بطولة أمم أفريقيا للمحليين,,مضلل
هذا المقطع لا يظهر إغلاق عامل بوابة المحل على فتاة بسيارتها,,مضلل
هذا المقطع يصور أنثى دبور تجلب فريسة وليس لأنثى دبور تدفن زوجها,,مضلل
هل تريد المساعدة في مكافحة التضليل؟ ساعد مجتمعك على وقف انتشار المعلومات الخاطئة والمضللة,,
"Fatabyyano announces the launch of “Kinan” the smart fact-checking assistant, in partnership with Meedan",,
جيبوتي -Djibouti حملة COVID-19 vs F19,,
اليمن -Yemen حملة COVID-19 vs F19,,
لا، لم تحظر اليابان لقاحات كوفيد 19، ولا صحة لهذه الادعاءات المتداولة حول زيادة معدل الوفيات بسبب اللقاح,,زائف
هذا المقطع قديم ولا يبين هجوم عصابة إل تشابو على مستشفى في المكسيك مؤخرًا,,مضلل
هذه المشاهد تصور عراكًا في محافظة كركوك، ولا تظهر شابّا يضرب فتاةً في ليبيا,,مضلل
هذه الصورة معدلة رقميا وليست صورة حقيقة لأمواج مدينة نازاري,,مضلل
هذه الصورة قديمة ومتداولة منذ عام 2020، ولا تبين ازدحاما أمام أحد بنوك الدقهلية مؤخرا,,مضلل
هذه الصورة قديمة، ولا تظهر انفجارًا في مجمع مليتة للغاز في ليبيا مؤخرًا,,مضلل
هذا المقطع عبارة عن عمل رقمي ولا يظهر فطرًا حقيقيّا باسم “الفطر البركاني”,,زائف
لا، لم تعفي دولة قطر مواطني الجزائر من تأشيرة الدخول لأراضيها,,زائف
هذا المقطع يعود لحريق في مكة عام 2016، ولا يصور حريقًا في برج الساعة مؤخرًا,,مضلل
لا صحة لهذا العرض المنسوب لمركز كارفور لتوزيع طرود مجانا قبل نهاية السنة,,زائف
هذا المقطع متداول منذ مايو 2022، ولا وجود لمتحور جديد باسم “يوم القيامة” في الصين,,زائف
لا صحة لخبر وفاة والدة اللاعب المغربي سفيان بوفال مؤخرًا,,زائف
هذه ليست بعوضة طُبع عليها أرقام، بل حشرة مِن فصلية “المنّ” عليها بقع طبيعية,,مضلل
هل تريد المساعدة في مكافحة التضليل؟ ساعد مجتمعك على وقف انتشار المعلومات الخاطئة والمضللة,,
"Fatabyyano announces the launch of “Kinan” the smart fact-checking assistant, in partnership with Meedan",,
جيبوتي -Djibouti حملة COVID-19 vs F19,,
اليمن -Yemen حملة COVID-19 vs F19,,
لا، لم تحظر اليابان لقاحات كوفيد 19، ولا صحة لهذه الادعاءات المتداولة حول زيادة معدل الوفيات بسبب اللقاح,,زائف
هذا المقطع قديم ولا يظهر مظاهرات حديثة ضد الحوثي في البيضاء,,مضلل
هذه الصورة نشرتها ناسا عام 2002، وليست للعاصفة الثلجية التي تجتاح أمريكا حاليا,,مضلل
هذه الصورة قديمة وتعود لتصميم مقترح تقاطع طرق في أوكرانيا وليس في مصر,,مضلل
هذا المقطع لا يظهر تعرض شخص لصعقة كهربائية بسبب استخدام سماعات البلوتوث في محطة قطار,,مضلل
الترجمة المرفقة بحديث مدرب المنتخب الفرنسي ديدييه ديشان في هذا المقطع زائفة,,زائف
هذا المقطع يعود لاحتراق محرك طائرة أمريكية عام 2021، ولا يُظهر طائرة ليبية,,مضلل
لا صحة لخبر إصدار عملة أرجنتينية جديدة تحمل صورة ميسي,,زائف
هذه الصورة مفبركة، ولا تظهر خطابا تقدم به نادي الزمالك للمشاركة بكأس العالم للأندية,,زائف
